Origin,January.FlightCount,January.DepDly,January.ArrDly,February.FlightCount,February.DepDly,February.ArrDly,March.FlightCount,March.DepDly,March.ArrDly,April.FlightCount,April.DepDly,April.ArrDly,May.FlightCount,May.DepDly,May.ArrDly,June.FlightCount,June.DepDly,June.ArrDly,July.FlightCount,July.DepDly,July.ArrDly,August.FlightCount,August.DepDly,August.ArrDly,September.FlightCount,September.DepDly,September.ArrDly,October.FlightCount,October.DepDly,October.ArrDly,November.FlightCount,November.DepDly,November.ArrDly,December.FlightCount,December.DepDly,December.ArrDly
HSV,314,3420,3395,309,1579,1351,361,2741,3014,326,2052,2122,348,2705,2651,355,4805,4403,355,5663,5317,366,4428,4366,350,925,787,368,2605,2449,328,2123,2193,289,3490,3239
HYS,52,571,616,50,731,792,54,782,804,51,103,116,53,602,673,52,197,334,52,988,967,54,296,355,53,207,230,52,94,100,51,422,428,52,505,659
IAD,2537,22213,16950,2241,22930,20921,2636,26122,23389,2763,24929,23389,2919,27120,25813,3168,61678,62971,3239,68548,66373,3190,40028,40183,2899,26475,26854,3080,25718,27890,2909,23094,20095,2907,42057,48897
IAG,31,328,276,37,397,467,44,557,561,34,632,568,26,232,174,25,233,195,27,185,163,27,576,494,23,70,59,23,236,232,39,322,225,62,966,908
IAH,11660,102992,96712,11094,83797,80628,11780,147675,141509,11174,112881,108982,11840,164523,159346,11747,198450,191315,11683,164867,151596,11677,169846,170945,10780,86522,85648,11571,92278,80347,10886,94784,83488,11485,168566,149425
ICT,688,6318,6983,625,5235,4884,684,6547,6597,726,8736,8989,619,7953,8152,610,5665,5274,677,9314,9710,716,10222,10343,622,7849,7971,654,3648,3763,637,6146,5744,605,7767,7250
IDA,208,1371,1990,191,1138,1224,195,1467,1755,199,1319,1439,206,1111,1273,208,524,871,244,1733,1768,240,1960,2164,201,525,545,207,590,654,195,1406,1363,189,7196,7669
ILM,196,2568,2644,177,1886,1969,174,2289,2198,175,491,579,179,1330,1491,220,4818,4917,238,6590,6725,249,5008,5024,255,1471,1452,260,2398,2207,246,1077,1097,216,2165,2181
IMT,57,1018,809,53,254,133,58,1182,669,56,392,413,57,962,930,56,443,342,57,437,381,58,801,725,56,460,480,57,853,870,55,677,761,57,1338,866
IND,2209,17380,18151,2110,16414,15884,2462,26457,26126,2319,19160,18701,2450,19993,21454,2463,36679,35487,2421,42315,41625,2225,28296,29598,2006,17223,18090,2119,14627,15200,2032,14520,12787,2204,29933,30604
INL,54,1268,1522,50,1246,1330,54,935,411,51,1147,771,53,930,101,52,1134,1124,54,1251,1379,52,458,647,52,525,642,52,244,347,51,905,945,53,789,1114
ISN,169,1790,1673,171,1860,1697,158,936,968,144,712,705,149,1839,1931,146,1768,1593,145,1386,1552,149,2016,2111,140,1384,1451,101,241,394,87,985,1024,85,3405,3371
ISP,381,2201,2375,346,3080,3080,406,4390,4147,431,2585,2488,445,2981,3121,397,5978,5627,407,8589,8247,376,3589,2808,352,1923,2169,367,2063,1810,384,2303,1298,414,2936,2654
ITH,59,581,564,73,2211,2160,75,936,950,85,520,563,86,769,719,86,797,996,44,1062,1179,58,684,860,86,484,586,87,1048,1035,81,2020,1852,83,2709,3028
ITO,492,1222,1463,465,1223,1656,517,1475,2053,503,1992,2198,516,1894,2158,511,1969,2380,531,3300,3817,531,1456,1696,466,1867,2293,483,1386,1705,468,1292,1637,491,2895,3465
JAC,403,7784,8023,397,7067,6240,407,5179,5718,158,1755,1641,185,904,1062,356,4894,4832,571,5042,4814,531,7127,7517,354,4109,4269,179,672,832,81,557,780,309,16711,18045
JAN,429,3484,3606,411,3541,3212,437,4005,4196,414,2307,2654,437,4838,4636,444,6192,6073,470,9996,10053,479,6881,7611,377,2432,2412,454,2628,2337,431,3638,3435,418,6229,6162
JAX,1500,13460,12923,1423,15281,15827,1556,10508,10229,1559,11104,10819,1599,17690,17158,1622,22615,22251,1577,32314,31362,1589,22385,22084,1553,13169,13259,1602,11635,11436,1483,10272,10377,1681,18844,18229
JFK,8027,108934,105962,7672,164349,163137,8545,105061,107161,8206,106840,99753,8356,79930,75178,8437,139426,150365,8774,252388,253756,8646,192806,187456,7666,81984,84749,7775,78539,83857,7582,65209,45130,9086,162336,196285
JMS,74,1341,1125,71,1906,1960,76,468,616,72,411,478,75,568,667,74,1854,1759,84,390,501,84,1660,1621,82,535,417,84,1112,1128,80,616,583,83,736,674
JNU,345,3326,3316,336,2126,2169,362,3182,3170,351,924,1140,391,1438,1638,483,2871,2858,512,2488,2602,507,4160,4155,340,1804,1774,326,2604,2954,309,1752,2420,318,3738,3756
KOA,990,8896,6933,933,4918,3914,1067,9184,8778,977,3026,3467,994,3313,3193,1106,10371,10646,1178,8178,9318,1177,5970,6932,908,3917,4501,959,5459,5233,979,4236,4985,1211,13023,13285
KTN,186,1236,1170,174,768,847,186,1308,1445,180,1091,1160,215,1481,1622,262,1171,1174,273,1554,1609,271,2407,2440,194,1082,720,181,1856,2014,174,1619,1788,179,2677,2662
LAN,249,3703,4204,246,4434,4560,176,1910,2351,286,2246,2482,171,3056,3105,230,1672,1900,247,2673,2800,237,2856,3129,103,736,824,124,2365,2462,179,1494,1403,186,2935,3771
LAR,52,564,606,50,245,201,54,784,779,51,143,171,53,709,658,52,761,820,52,435,430,54,424,489,52,718,765,52,708,686,51,388,368,53,785,769
LAS,12246,147504,147862,11422,103069,99030,12731,147653,152691,12520,162736,165245,12944,132498,123704,12796,204097,198520,13057,240621,235173,13036,185895,188068,12575,113751,112729,13156,130562,125422,12118,87035,94161,12682,226403,204045
LAW,87,293,337,86,648,609,93,1455,1425,86,1177,1130,65,760,855,83,845,1026,62,1137,1339,101,2835,2838,118,1287,1411,123,636,695,114,1271,1335,122,3835,4081
LAX,16427,202755,210619,15407,158583,157606,17304,231445,226841,16990,185009,180126,17692,208864,191237,19078,337387,329832,19920,344075,335171,19726,347178,344393,17527,190429,194596,17988,234180,214312,17044,172643,177846,19976,444222,398843
LBB,399,1877,2080,385,846,793,412,3208,3437,386,3531,3085,379,4281,4268,364,5183,4989,350,6611,6358,381,3760,3817,390,2372,2812,343,1108,1166,367,2560,2708,421,5113,4965
LBE,93,1303,1707,101,1692,2012,114,2035,2045,95,1261,1274,85,567,660,81,734,679,84,1487,1450,84,1921,1876,70,1039,1033,69,415,404,77,484,520,93,388,570
LCH,75,253,277,76,505,538,84,757,787,71,461,516,105,1016,1071,73,1046,1127,90,1171,1195,125,1418,1542,144,587,606,148,1060,1073,139,2579,2721,134,3367,3193
LEX,365,5829,5647,416,6643,6738,415,3510,3878,358,3062,2941,411,4349,4724,406,5607,5509,461,8985,8744,473,8768,8673,448,5064,4846,500,5986,5653,475,5209,5602,442,7836,8424
LFT,269,3040,3113,267,2003,1975,253,4503,4495,268,1772,1773,251,3325,3195,248,4258,4416,206,6417,6508,230,3662,3882,265,1375,1427,261,2309,2097,271,3022,3169,306,4040,4053
LGA,8028,98941,95344,7879,160219,148469,8302,118167,118199,7752,93060,90194,8032,95878,102844,8418,165406,178074,8497,234626,238973,8688,170004,171331,8156,103824,107258,7985,92727,87802,7438,113140,96872,8239,114557,116596
LGB,755,14454,14877,709,13991,14041,770,11868,12634,759,6023,6883,858,9320,9210,968,9550,8902,1010,12505,12192,1081,13014,13329,1012,8703,9049,1084,13048,12994,1015,8564,8544,1142,15047,14978
LIH,1005,5226,3669,919,4439,3934,992,5677,5744,944,2840,3250,975,3391,3693,1104,7933,9041,1149,7202,8097,1107,7042,7499,852,6008,6399,899,2774,2916,886,2627,3213,1063,6298,7384
LIT,614,4565,4892,587,2451,2517,695,5674,6050,682,4007,3969,743,7484,7621,703,7763,7502,751,9628,9638,780,10048,9883,715,5475,5670,772,4232,4002,686,6518,6112,665,6206,6264
LNK,231,2596,2993,241,1485,1746,293,2279,2360,201,1786,1868,295,1539,1790,267,2074,2395,282,3665,4216,294,3690,4008,227,3079,3091,253,2043,2269,239,2376,2436,231,5388,5696
LRD,162,2453,2353,159,424,492,173,2716,3044,163,1363,1618,201,974,1330,151,2391,2528,198,3728,3794,206,3333,2996,186,1363,1302,191,871,1025,179,2374,2554,154,4511,4436
LSE,49,617,662,65,346,437,85,625,563,48,499,435,87,309,280,23,55,30,83,476,549,89,1005,953,84,227,385,34,310,322,49,235,330,60,879,1104
LWS,55,1158,1224,57,66,136,62,128,138,60,18,11,59,127,155,60,46,62,60,178,163,62,178,188,59,320,281,62,65,48,58,190,165,61,1392,1594
MAF,471,2560,2625,460,1484,1603,517,5877,6321,515,4891,4852,503,3807,3817,469,5870,6160,456,7086,7413,500,5492,5830,458,1920,2056,520,2987,3000,500,4261,4213,484,3789,3745
MBS,189,3560,3726,163,2819,2862,126,1733,1730,177,1020,1196,95,1350,1342,233,967,923,203,2451,2615,200,2454,2467,140,1265,1197,155,2206,2391,138,1005,1120,176,3489,3659
MCI,3320,24377,23560,3147,21530,19793,3650,34087,36895,3622,30357,29326,3902,45105,45074,3894,46989,45954,3950,60597,61440,3844,42855,44977,3528,21299,22854,3658,21760,25305,3530,22117,20562,3704,50986,54171
